ICP_MS_Sample_Run,Sample_ID,Sample_Location,Date,Be_ugL,B_ugL,Al_ugL,P_ugL,V_ugL,Cr_ugL,Mn_ugL,Fe_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Ga_ugL,As_ugL,Se_ugL,Kr_ugL,Rb_ugL,Sr_ugL,Ag_ugL,Cd_ugL,Sn_ugL,Cs_ugL,Ba_ugL,La_ugL,Ce_ugL,Pr_ugL,Nd_ugL,Sm_ugL,Eu_ugL,Gd_ugL,Dy_ugL,Ho_ugL,Er_ugL,Tm_ugL,Yb_ugL,Lu_ugL,Ti_ugL,Pb_206_ugL,Pb_207_ugL,Pb_208_ugL,Th_ugL,U_ugL,Li_ugL,Mo_ugL
MS68,158799,QG,11/29/17,-0.021,11.797,67.523,9.909,0.521,0.04,,320,0.547,0.076,0.404,1.102,0.035,0.031,0.032,,1.537,13.008,0,0.004,,0.017,9.048,0.117,0.156,0.038,0.168,0.046,0.017,0.055,0.062,0.015,0.047,0.007,0.05,0.009,0.01,0.004,0.002,0.003,0.001,0.003,0.146,0.042
MS69,158791,MPR,11/22/17,-0.025,13.018,36.726,22.612,1.729,0.13,6.1,31.659,0.037,0.141,0.721,0.939,0.012,0.088,0.084,,1.429,52.447,0.001,0.008,,0.012,37.678,0.031,0.036,0.01,0.051,0.013,0.005,0.015,0.014,0.003,0.01,0.001,0.008,0.001,0.005,-0.01,-0.011,-0.01,-0.001,0.003,0.238,0.163
MS70,158785,QP,11/21/17,-0.025,12.921,71.229,12.164,2.095,0.277,5.815,52.002,0.067,0.2,0.615,0.915,0.017,0.043,-0.001,,0.635,25.881,0,0.004,,0.005,3.756,0.027,0.041,0.01,0.048,0.013,0.004,0.014,0.012,0.002,0.007,0.001,0.006,0.001,0.001,-0.007,-0.007,-0.006,-0.001,0.001,0.098,0.005
MS71,158789,RI,11/22/17,-0.024,10.962,15.237,11.186,0.358,0.042,,250,0.653,0.154,0.376,3.973,0.014,0.021,0.014,,1.249,17.331,0,0.014,,0.018,13.34,0.037,0.082,0.009,0.044,0.011,0.004,0.013,0.014,0.003,0.011,0.002,0.012,0.002,0.007,-0.008,-0.009,-0.008,0,0.001,0.136,0.077
MS72,158811,QS,12/12/17,-0.025,12.201,32.704,9.19,0.855,0.158,0.757,22.504,0.027,0.167,0.594,0.908,0.008,0.032,0.01,,0.621,20.253,0,0.006,,0.006,3.702,0.016,0.027,0.005,0.024,0.006,0.002,0.006,0.006,0.001,0.003,0,0.003,0,0.002,-0.012,-0.011,-0.011,-0.002,0.001,0.095,0.009
MS73,158812,QP,12/12/17,-0.024,14.502,73.048,14.13,2.184,0.273,5.573,52.485,0.066,0.205,0.635,2.128,0.015,0.046,0.012,,0.607,25.845,0,0.012,,0.004,5.208,0.024,0.04,0.008,0.041,0.01,0.004,0.012,0.011,0.002,0.006,0.001,0.006,0.001,0.001,-0.008,-0.008,-0.008,-0.002,0.001,0.086,0.004
MS74,158816,RI,12/13/17,-0.027,10.382,15.553,10.278,0.277,0.075,,190,0.63,0.089,0.462,3.087,0.011,0.022,0.016,,1.288,17.2,0,0.018,,0.018,9.091,0.033,0.057,0.009,0.047,0.011,0.004,0.014,0.014,0.003,0.012,0.002,0.012,0.002,0.008,-0.01,-0.01,-0.01,-0.001,0.001,0.115,0.060
MS75,158818,MPR,12/13/17,-0.025,13.334,13.436,20.377,1.761,0.129,3.686,16.083,0.03,0.111,0.718,0.876,0.006,0.088,0.096,,1.359,51.969,0,0.012,,0.011,33.416,0.016,0.015,0.004,0.022,0.005,0.003,0.006,0.006,0.002,0.004,0.001,0.004,0.001,0.004,-0.013,-0.012,-0.012,-0.002,0.003,0.217,0.179
MS76,158817,QG,12/13/17,-0.022,11.173,38.059,10.109,0.469,0.04,,170,0.373,0.104,0.291,4.129,0.022,0.024,0.012,,1.209,11.372,0,0.025,,0.013,10.067,0.07,0.092,0.024,0.111,0.028,0.012,0.036,0.043,0.01,0.035,0.005,0.036,0.007,0.008,-0.008,-0.009,-0.008,-0.001,0.002,0.135,0.046
MS77,158821,QP,12/19/17,-0.024,18.666,124.359,16.735,1.938,0.495,6.864,110,0.128,0.404,2.264,2.165,0.061,0.068,0.064,,0.802,25.922,0,0.007,,0.006,8.107,0.217,0.303,0.078,0.383,0.098,0.031,0.101,0.09,0.018,0.051,0.006,0.041,0.006,0.002,0.002,0.002,0.002,0,0.003,0.103,0.005
MS78,158820,QS,12/19/17,-0.022,14.74,120.505,13.062,0.834,0.383,1.711,130,0.053,0.243,1.239,1.864,0.034,0.047,0.04,,0.788,19.677,0,0.004,,0.009,4.246,0.088,0.161,0.028,0.129,0.03,0.01,0.03,0.027,0.005,0.014,0.002,0.012,0.002,0.003,0.007,0.003,0.005,0,0.002,0.134,0.006
MS79,158825,RI,12/20/17,-0.025,11.182,10.738,10.607,0.244,0.031,,190,0.618,0.067,0.307,1.41,0.01,0.023,0.009,,1.434,17.712,0,0.01,,0.019,8.696,0.033,0.053,0.01,0.048,0.011,0.004,0.014,0.015,0.004,0.012,0.002,0.013,0.003,0.008,-0.01,-0.01,-0.01,-0.001,0.001,0.122,0.052
MS80,158827,MPR,12/20/17,-0.026,14.344,34.566,18.99,1.744,0.131,3.391,28.249,0.029,0.123,0.833,0.272,0.013,0.088,0.082,,1.418,50.105,0.001,0.006,,0.011,30.653,0.026,0.03,0.008,0.039,0.009,0.004,0.011,0.011,0.003,0.008,0.001,0.007,0.001,0.004,-0.009,-0.009,-0.009,-0.002,0.003,0.200,0.157
MS81,158826,QG,12/20/17,-0.025,12.579,44.442,10.677,0.44,0.036,,,0.359,0.076,0.403,1.282,0.024,0.028,0.025,,1.338,11.847,0,0.006,,0.014,8.535,0.072,0.098,0.024,0.114,0.031,0.012,0.037,0.044,0.011,0.036,0.005,0.037,0.007,0.008,-0.004,-0.005,-0.004,-0.001,0.002,0.122,0.044
MS82,158838,MPR,1/3/18,-0.026,13.712,31.312,21.964,1.574,0.142,4.843,25.305,0.059,0.244,3.831,3.127,0.012,0.09,0.104,,1.333,51.749,0,0.015,,0.012,32.563,0.033,0.042,0.011,0.051,0.014,0.005,0.015,0.016,0.004,0.011,0.002,0.009,0.002,0.004,0.222,0.207,0.215,-0.002,0.003,0.207,0.187
MS83,158836,QG,1/3/18,-0.021,11.814,44.681,11.296,0.444,0.081,,150,0.275,0.321,0.434,6.823,0.015,0.027,0.024,,1.21,12.082,0,0.021,,0.012,10.777,0.057,0.078,0.019,0.087,0.023,0.009,0.028,0.033,0.008,0.026,0.004,0.028,0.005,0.007,0.03,0.028,0.029,-0.001,0.002,0.129,0.046
MS84,158837,RI,1/3/18,-0.021,10.4,27.939,11.027,0.277,0.076,,280,0.638,0.249,0.41,5.374,0.014,0.025,0.009,,1.235,18.522,0,0.023,,0.018,12.379,0.031,0.058,0.01,0.045,0.01,0.004,0.013,0.013,0.003,0.011,0.002,0.012,0.002,0.007,0.135,0.129,0.132,0,0.001,0.104,0.061
MS85,158841,QP,1/4/18,-0.026,13.395,85.715,13.032,2.271,0.323,5.211,56.292,0.064,0.206,0.596,0.587,0.018,0.048,0.002,,0.562,25.48,0,0.004,,0.004,3.369,0.023,0.039,0.008,0.036,0.01,0.004,0.011,0.009,0.002,0.006,0.001,0.005,0.001,0.001,-0.001,-0.001,-0.001,-0.002,0.001,0.067,0.007
MS86,158840,QS,1/4/18,-0.026,11.876,40.994,10.408,0.885,0.18,0.912,26.872,0.029,0.115,0.541,0.211,0.008,0.032,0.01,,0.585,19.817,0,0.002,,0.007,2.995,0.016,0.028,0.005,0.022,0.005,0.002,0.006,0.005,0.001,0.003,0,0.003,0,0.002,-0.007,-0.007,-0.007,-0.002,0.001,0.092,0.010
MS87,158880,MPR,2/2/18,-0.026,12.842,30.219,19.239,1.543,0.145,3.659,21.75,0.028,0.181,0.603,0.482,0.012,0.076,0.114,,1.238,48.253,0,0.007,,0.01,28.751,0.031,0.026,0.009,0.044,0.011,0.005,0.013,0.014,0.003,0.01,0.001,0.009,0.001,0.004,-0.01,-0.01,-0.01,-0.002,0.003,0.224,0.160
MS88,158879,RI,2/2/18,-0.024,10.541,42.023,14.06,0.34,0.084,,230,0.52,0.217,0.361,2.015,0.017,0.021,0.007,,1.295,18.12,0,0.01,,0.02,9.253,0.033,0.068,0.01,0.045,0.011,0.004,0.014,0.014,0.003,0.01,0.002,0.011,0.002,0.007,0.004,0.004,0.005,-0.001,0.001,0.125,0.054
MS89,158878,QG,2/2/18,-0.024,11.217,49.359,11.346,0.396,0.085,90.117,110,0.23,0.196,1.067,1.916,0.022,0.023,0.02,,1.265,12.304,0,0.009,,0.014,8.336,0.054,0.076,0.017,0.077,0.021,0.008,0.025,0.027,0.006,0.021,0.003,0.022,0.004,0.007,0.011,0.01,0.011,-0.002,0.002,0.154,0.037
MS90,158882,QS,2/6/18,-0.024,11.77,36.356,11.595,0.819,0.191,0.784,26.36,0.027,0.132,0.615,0.665,0.009,0.034,0.018,,0.619,19.058,0,0.006,,0.006,3.391,0.019,0.031,0.005,0.027,0.007,0.002,0.007,0.006,0.001,0.003,0,0.003,0,0.001,-0.009,-0.009,-0.009,-0.002,0.001,0.101,0.008
MS91,158883,QP,2/6/18,-0.022,13.861,65.581,13.092,2.108,0.326,3.858,47.784,0.056,0.207,0.576,0.951,0.016,0.04,0.019,,0.595,24.357,0,0.006,,0.004,3.93,0.024,0.036,0.008,0.041,0.011,0.003,0.012,0.011,0.002,0.006,0.001,0.005,0.001,0.001,-0.011,-0.01,-0.01,-0.002,0.001,0.088,0.004
MS92,160406,QS,3/20/18,-0.027,12.947,33.1,18.162,1.036,0.879,1.396,92.738,0.028,0.136,4.188,2.902,0.007,0.079,0.019,,0.546,19.745,0,0.014,,0.008,5.3,0.016,0.03,0.005,0.021,0.005,0.002,0.005,0.004,0.001,0.002,0,0.002,0,0.001,0.097,0.089,0.093,-0.002,0.004,0.111,0.076
MS93,160407,QP,3/20/18,-0.026,13.044,100.695,26.594,2.765,0.932,8.48,130,0.102,0.19,4.11,3.877,0.029,0.098,0.016,,0.54,27.643,0,0.018,,0.008,6.01,0.031,0.07,0.009,0.043,0.01,0.003,0.01,0.009,0.002,0.005,0.001,0.004,0.001,0.001,0.202,0.186,0.193,-0.001,0.007,0.122,0.045
MS94,160412,RI,3/21/18,-0.026,10.479,35.855,26.035,0.319,0.134,,340,0.466,0.124,4.827,4.193,0.012,0.124,0.009,,0.953,19.381,0,0.013,,0.015,8.935,0.021,0.045,0.006,0.028,0.007,0.003,0.008,0.008,0.002,0.006,0.001,0.007,0.001,0.005,0.1,0.089,0.094,-0.002,0.005,0.142,0.105
MS95,160413,MPR,3/21/18,-0.022,12.675,44.117,28.7,1.938,0.26,5.532,90.347,0.041,0.105,3.839,1.636,0.015,0.141,0.102,,1.117,56.24,0.001,0.006,,0.014,33.307,0.028,0.046,0.008,0.034,0.008,0.003,0.009,0.008,0.001,0.005,0.001,0.004,0.001,0.004,0.109,0.101,0.106,-0.001,0.009,0.245,0.224
MS96,160411,QG,3/21/18,-0.021,11.094,33.298,11.146,0.477,0.066,46.21,80.66,0.109,0.056,0.845,2.122,0.014,0.024,0.018,,1.024,11.866,0.002,0.007,,0.01,7.367,0.04,0.053,0.013,0.064,0.015,0.007,0.02,0.021,0.005,0.017,0.003,0.02,0.004,0.005,-0.003,-0.002,-0.002,-0.002,0.003,0.086,0.049
MS97,,MPR,11/14/18,-0.025,13.562,92.059,18.601,1.56,0.297,4.401,79.796,0.066,1.416,1.715,5.103,0.058,0.098,0.147,,0.917,33.936,0.001,0.012,,0.008,21.422,0.279,0.232,0.091,0.437,0.112,0.036,0.128,0.129,0.029,0.085,0.012,0.076,0.012,0.004,0.024,0.021,0.023,-0.001,0.005,0.197,0.100
MS98,,QG,11/14/18,-0.021,12.473,65.326,11.476,0.617,0.082,58.589,,0.191,3.099,0.738,11.859,0.051,0.054,0.069,,1.278,11.453,0,0.017,,0.019,9.512,0.268,0.201,0.09,0.433,0.113,0.039,0.14,0.156,0.037,0.116,0.017,0.116,0.021,0.008,0.015,0.014,0.014,-0.001,0.004,0.137,0.044
MS99,,RI,11/14/18,-0.02,11.48,47.439,11.067,0.552,0.104,51.1,,0.244,2.762,0.692,11.416,0.031,0.046,0.047,,1.174,13.551,0,0.024,,0.016,9.221,0.135,0.206,0.038,0.18,0.044,0.014,0.051,0.055,0.012,0.038,0.005,0.037,0.007,0.009,0.006,0.006,0.007,0,0.003,0.103,0.038
MS100,,QS,11/13/18,-0.022,12.842,153.497,10.218,0.986,0.545,2.696,,0.087,1.452,1.676,24.797,0.042,0.109,0.043,,0.43,10.954,0,0.018,,0.006,5.342,0.11,0.228,0.036,0.168,0.042,0.013,0.043,0.037,0.007,0.021,0.003,0.016,0.003,0.002,0.034,0.032,0.034,-0.001,0.004,0.120,0.009
MS101,,QP,11/13/18,-0.022,16.535,152.606,13.894,2.028,0.724,5.035,,0.130,3.109,2.019,16.372,0.062,0.131,0.068,,0.521,16.497,0.005,0.026,,0.004,4.136,0.165,0.239,0.061,0.302,0.078,0.025,0.080,0.069,0.014,0.040,0.006,0.035,0.005,0.001,0.017,0.019,0.019,0.021,0.004,0.124,0.008
MS102,,RI,10/10/18,-0.020,11.849,27.807,17.168,0.493,0.093,79.624,,0.357,0.465,0.506,1.240,0.018,0.035,0.024,,1.152,18.470,0.003,0.005,,0.017,7.800,0.075,0.110,0.020,0.090,0.022,0.008,0.026,0.026,0.006,0.019,0.003,0.020,0.003,0.008,0.008,0.009,0.009,0.018,0.002,0.143,0.064
MS103,,QG,10/10/18,-0.015,13.318,41.170,15.509,0.570,0.092,71.231,,0.177,0.461,0.502,0.924,0.036,0.042,0.058,,1.290,13.500,0.004,0.003,,0.015,7.269,0.172,0.137,0.053,0.253,0.063,0.024,0.082,0.085,0.021,0.066,0.010,0.065,0.012,0.006,0.015,0.016,0.016,0.010,0.003,0.127,0.053
MS104,,MPR,10/10/18,-0.018,15.899,145.201,21.429,2.002,0.324,5.845,,0.096,0.373,1.823,1.735,0.054,0.098,0.111,,1.083,46.186,0.005,0.006,,0.012,28.248,0.128,0.161,0.042,0.201,0.048,0.016,0.056,0.048,0.011,0.032,0.004,0.027,0.004,0.005,0.043,0.039,0.040,0.010,0.005,0.224,0.134
MS105,,QP,10/9/18,-0.013,14.999,68.619,17.348,2.272,0.483,4.991,,0.087,0.654,1.397,3.616,0.031,0.053,0.033,,0.501,22.535,0.004,0.027,,0.005,4.857,0.076,0.129,0.027,0.135,0.034,0.011,0.037,0.032,0.007,0.018,0.003,0.016,0.002,0.001,0.025,0.026,0.026,0.009,0.002,0.094,0.012
MS106,,QS,10/9/18,-0.023,13.776,90.843,14.935,1.089,0.520,3.038,,0.071,0.756,1.466,3.857,0.027,0.062,0.047,,0.466,15.216,0.004,0.011,,0.006,4.344,0.080,0.153,0.023,0.111,0.026,0.008,0.027,0.023,0.005,0.013,0.002,0.012,0.001,0.002,0.013,0.014,0.014,0.012,0.003,0.130,0.016
MS107,,MPR,7/11/18,-0.020,13.666,39.110,27.646,1.961,0.321,4.221,48.453,0.053,0.362,3.954,3.552,0.017,0.155,0.102,,1.115,47.787,0.003,0.018,,0.011,25.831,0.062,0.053,0.014,0.068,0.017,0.006,0.019,0.021,0.005,0.014,0.002,0.014,0.002,0.004,0.131,0.123,0.129,0.006,0.007,0.169,0.273
MS108,,QP,7/10/18,-0.020,15.568,63.011,19.519,2.088,0.441,4.927,64.388,0.078,0.315,2.072,2.864,0.021,0.051,0.033,,0.512,19.038,0.002,0.010,,0.004,4.215,0.051,0.080,0.015,0.077,0.018,0.007,0.020,0.018,0.004,0.012,0.001,0.010,0.001,0.001,0.016,0.018,0.018,0.004,0.003,0.111,0.014
MS109,,RI,7/11/18,-0.022,11.119,30.760,16.487,0.475,0.257,88.969,,0.384,0.192,2.368,3.786,0.018,0.084,0.016,,1.295,18.153,0.005,0.026,,0.019,10.116,0.055,0.089,0.014,0.067,0.015,0.005,0.017,0.016,0.004,0.013,0.002,0.014,0.003,0.009,0.051,0.047,0.048,0.004,0.003,0.160,0.068
MS110,,QS,7/10/18,-0.019,17.155,107.727,27.484,1.168,3.554,2.254,,0.067,0.613,9.841,4.868,0.040,0.101,0.043,,0.644,16.016,0.006,0.008,,0.025,5.973,0.067,0.127,0.020,0.086,0.021,0.006,0.021,0.018,0.004,0.010,0.001,0.009,0.001,0.003,0.264,0.243,0.253,0.006,0.010,0.178,0.117
MS111,,QG,7/11/18,-0.024,13.140,70.184,29.942,0.907,0.591,54.528,,0.200,0.259,9.796,7.970,0.042,0.065,0.047,,1.220,12.648,0.004,0.042,,0.016,14.255,0.118,0.122,0.037,0.179,0.048,0.018,0.058,0.064,0.015,0.049,0.007,0.050,0.009,0.007,0.500,0.460,0.476,0.007,0.008,0.157,0.081
MS112,,QP,6/12/18,-0.015,17.919,320.794,27.341,3.656,1.006,20.729,,0.455,0.837,4.227,5.513,0.092,0.083,0.064,,0.590,25.712,0.005,0.031,,0.007,9.377,0.162,0.312,0.057,0.282,0.073,0.024,0.076,0.066,0.013,0.038,0.005,0.031,0.005,0.001,0.212,0.192,0.201,0.003,0.006,0.164,0.015
MS113,,RI,6/13/18,-0.022,11.400,26.421,19.097,0.406,0.159,100.121,,0.437,0.186,3.945,2.778,0.013,0.029,0.020,,1.132,18.812,0.004,0.029,,0.018,9.955,0.033,0.056,0.009,0.040,0.009,0.004,0.011,0.012,0.003,0.009,0.002,0.010,0.002,0.007,0.048,0.045,0.046,0.002,0.003,0.146,0.067
MS114,,MPR,6/13/18,-0.019,15.542,46.981,24.434,2.001,0.645,5.784,66.383,0.047,0.331,3.511,3.791,0.021,0.129,0.107,,1.251,54.084,0.003,0.033,,0.016,34.250,0.044,0.072,0.011,0.048,0.012,0.004,0.014,0.012,0.003,0.008,0.001,0.007,0.001,0.005,0.090,0.082,0.085,0.002,0.007,0.262,0.349
MS115,,QS,6/12/18,-0.024,15.220,68.738,14.432,0.945,0.362,1.825,92.693,0.056,0.212,1.138,0.608,0.020,0.050,0.031,,0.579,17.173,0.002,0.008,,0.007,3.039,0.053,0.100,0.017,0.078,0.019,0.006,0.018,0.016,0.004,0.010,0.001,0.008,0.001,0.002,-0.002,0.000,0.000,0.001,0.002,0.133,0.010
MS116,,QG,6/13/18,-0.022,12.180,48.526,19.510,0.586,0.296,53.508,,0.143,0.264,4.289,3.887,0.021,0.029,0.021,,1.174,12.556,0.001,0.048,,0.014,9.655,0.073,0.080,0.023,0.107,0.029,0.011,0.034,0.038,0.009,0.031,0.005,0.031,0.006,0.006,0.042,0.040,0.041,0.000,0.005,0.166,0.057
MS117,,QS,9/4/18,-0.020,15.067,317.528,25.941,1.941,0.913,5.250,,0.133,0.748,3.906,6.989,0.088,0.126,0.083,,0.481,14.140,0.005,0.011,,0.013,17.252,0.177,0.348,0.054,0.247,0.058,0.019,0.059,0.052,0.011,0.029,0.004,0.024,0.004,0.003,0.157,0.141,0.148,0.006,0.015,0.157,0.029
MS118,,QG,9/5/18,-0.018,13.471,76.515,29.251,0.694,0.327,60.423,,0.174,0.167,3.168,5.899,0.045,0.352,0.050,,1.294,13.776,0.004,0.017,,0.023,8.907,0.177,0.213,0.053,0.251,0.065,0.021,0.071,0.079,0.018,0.059,0.009,0.059,0.011,0.007,0.328,0.300,0.312,0.007,0.012,0.179,0.110
MS119,,RI,9/5/18,-0.023,11.629,26.206,14.047,0.458,0.106,89.597,,0.393,0.083,0.375,2.751,0.015,0.031,0.029,,1.201,18.698,0.001,0.013,,0.017,9.320,0.045,0.079,0.013,0.059,0.014,0.005,0.017,0.016,0.004,0.013,0.002,0.013,0.002,0.008,-0.004,-0.003,-0.004,0.001,0.002,0.139,0.065
MS120,,QP,9/4/18,-0.005,16.603,151.767,21.671,2.281,0.840,6.517,,0.441,0.388,4.930,4.681,0.063,0.066,0.078,,0.462,19.126,0.008,0.008,,0.005,10.129,0.172,0.249,0.059,0.294,0.075,0.025,0.078,0.068,0.014,0.040,0.005,0.032,0.005,0.001,0.111,0.101,0.106,0.002,0.005,0.132,0.022
MS121,,MPR,9/5/18,-0.019,14.116,33.701,21.250,1.730,0.194,4.088,29.776,0.034,0.121,0.904,1.068,0.018,0.094,0.140,,1.072,46.283,0.001,0.006,,0.010,23.672,0.072,0.103,0.012,0.058,0.014,0.006,0.016,0.016,0.004,0.011,0.002,0.009,0.002,0.005,-0.009,-0.008,-0.009,0.000,0.003,0.198,0.156
MS122,156392,QP,9/15/17,-0.018,14.931,107.490,21.160,2.017,0.611,10.606,,0.097,0.304,3.341,7.399,0.032,0.162,0.021,,0.463,24.565,0.002,0.136,,0.018,6.751,0.061,0.095,0.017,0.073,0.017,0.005,0.018,0.015,0.004,0.009,0.001,0.010,0.002,0.001,0.890,0.804,0.838,0.002,0.019,0.188,0.013
